Year,EventName,Driver,GridPosition,LapTime,LapNumber,Stint,Compound,LapPosition,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
2018,Mexico Grand Prix,VER,2,1.23.044,1,1,ULTRASOFT,1,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,HAM,3,1.24.169,1,1,ULTRASOFT,2,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,RIC,1,1.25.456,1,1,ULTRASOFT,3,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,VET,4,1.26.511,1,1,ULTRASOFT,4,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,BOT,5,1.27.855,1,1,ULTRASOFT,5,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,SAI,8,1.28.610,1,1,HYPERSOFT,6,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,RAI,6,1.29.144,1,1,ULTRASOFT,7,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,HUL,7,1.29.609,1,1,HYPERSOFT,8,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,LEC,9,1.31.389,1,1,HYPERSOFT,9,19.2,53.8,784.7,FALSE,32.6,295,1.6
2019,Mexico Grand Prix,LEC,1,1.29.892,1,1,MEDIUM,1,22.5,46.7,781,FALSE,41.2,7,2.2
2018,Mexico Grand Prix,ERI,10,1.33.592,1,1,HYPERSOFT,10,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,PER,13,1.34.212,1,1,SUPERSOFT,11,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,ALO,12,1.34.715,1,1,ULTRASOFT,12,19.2,53.8,784.7,FALSE,32.6,295,1.6
2018,Mexico Grand Prix,STR,17,1.35.073,1,1,ULTRASOFT,13,19.2,53.8,784.7,FALSE,32.6,295,1.6
2019,Mexico Grand Prix,VET,2,1.32.867,1,1,MEDIUM,2,22.5,46.7,781,FALSE,41.2,7,2.2
2018,Mexico Grand Prix,MAG,16,1.35.478,1,1,SUPERSOFT,14,19.2,53.8,784.7,FALSE,32.6,295,1.6
